state_abbr,high_school,bachelor,advanced
MT,0.93,0.31,0.1
NH,0.93,0.36,0.14
MN,0.93,0.35,0.12
WY,0.93,0.27,0.09
AK,0.92,0.29,0.1
ND,0.92,0.29,0.08
VT,0.92,0.37,0.15
ME,0.92,0.3,0.11
IA,0.92,0.28,0.09
UT,0.92,0.33,0.11
WI,0.92,0.29,0.1
HI,0.92,0.32,0.11
SD,0.91,0.28,0.08
CO,0.91,0.39,0.15
NE,0.91,0.31,0.1
WA,0.91,0.35,0.13
KS,0.91,0.32,0.12
DC,0.9,0.57,0.33
MA,0.9,0.42,0.19
ID,0.9,0.27,0.09
MI,0.9,0.28,0.11
CT,0.9,0.38,0.17
OR,0.9,0.32,0.12
PA,0.9,0.3,0.12
MD,0.9,0.39,0.18
OH,0.9,0.27,0.1
DE,0.89,0.31,0.13
MO,0.89,0.28,0.11
NJ,0.89,0.38,0.15
VA,0.89,0.38,0.16
IL,0.89,0.33,0.13
IN,0.88,0.25,0.09
FL,0.88,0.29,0.1
OK,0.88,0.25,0.08
RI,0.87,0.33,0.13
US,0.87,0.31,0.12
NC,0.87,0.3,0.11
SC,0.87,0.27,0.1
TN,0.87,0.26,0.1
AZ,0.87,0.28,0.11
GA,0.86,0.3,0.11
NY,0.86,0.35,0.15
WV,0.86,0.2,0.08
NV,0.86,0.24,0.08
AR,0.86,0.22,0.08
AL,0.85,0.25,0.09
KY,0.85,0.23,0.1
NM,0.85,0.27,0.12
LA,0.84,0.23,0.08
MS,0.83,0.21,0.08
TX,0.83,0.29,0.1
CA,0.83,0.33,0.12
,,,
,,,
,,,
,,,
,,,
