state,year_2015,year_2016
DC,75628 ,75506 
MD,75847 ,78945 
NJ,72222 ,76126 
HI,73486 ,74511 
MA,70628 ,75297 
CT,71346 ,73433 
NH,70303 ,70936 
AK,73355 ,76440 
CA,64500 ,67739 
VA,66262 ,68114 
WA,64129 ,67106 
CO,63909 ,65685 
MN,63488 ,65599 
UT,62912 ,65977 
NY,60850 ,62909 
RI,58073 ,60596 
IL,59588 ,60960 
DE,61255 ,61757 
ND,60557 ,60656 
WY,60214 ,59882 
US,55775 ,57617 
OR,54148 ,57532 
NE,54996 ,56927 
WI,55638 ,56811 
TX,55653 ,56565 
PA,55702 ,56907 
IA,54736 ,56247 
NV,52431 ,55180 
VT,56990 ,57677 
AZ,51492 ,53558 
SD,53017 ,54467 
KS,53906 ,54935 
GA,51244 ,53559 
ME,51494 ,53079 
MI,51084 ,52491 
IN,50532 ,52314 
OH,51075 ,52344 
MO,50238 ,51746 
MT,49509 ,50027 
NC,47830 ,50584 
FL,49426 ,50860 
ID,48275 ,51807 
TN,47275 ,48547 
SC,47238 ,49501 
OK,48568 ,49176 
KY,45215 ,46659 
AL,44765 ,46257 
NM,45382 ,46748 
LA,45727 ,45146 
AR,41995 ,44334 
MS,40593 ,41754 
WV,42019 ,43385 
