state,mean_crd,income,high_school,bachelor,advanced,white,black,indian,asian
AK,11.373684210526315,76440,0.92,0.29,0.1,0.6618184123079579,0.037260756516485416,0.15261684360435007,0.06308664552045572
AL,14.366946778711485,46257,0.85,0.25,0.09,0.6935454993016078,0.267756480555507,0.006899642221740296,0.014352859194058477
AR,15.16640625,44334,0.86,0.22,0.08,0.7935784725171465,0.15692196053383983,0.009715724599636839,0.01616500747389154
AZ,12.97900390625,53558,0.87,0.28,0.11,0.831780134683819,0.04908708605285876,0.0532695352296726,0.03559221199714576
CA,12.268381682174786,67739,0.83,0.33,0.12,0.727054876789274,0.0647444407522769,0.016366214937659794,0.14864296774574962
CO,11.33244382022472,65685,0.91,0.39,0.15,0.8740593847123971,0.045175161313435075,0.01580513420061394,0.033320272929355965
CT,14.017372881355932,73433,0.9,0.38,0.17,0.8065942860400249,0.11710678312693472,0.005329068811520692,0.04680448680153599
DC,11.393333333333333,75506,0.9,0.57,0.33,0.4461114954666278,0.47738702982194225,0.006072169828496523,0.04188326111495467
DE,14.661538461538461,61757,0.89,0.31,0.13,0.7006666554293227,0.2267081465124903,0.006383162525705424,0.03954948083470991
FL,13.295591476855254,50860,0.88,0.29,0.1,0.7760184182419548,0.16861260470319364,0.004930736245916259,0.02838238055660931
GA,13.685622317596566,53559,0.86,0.3,0.11,0.6118717140801783,0.3203559363762175,0.005113072469497843,0.040880998427620316
HI,9.636440677966101,74511,0.92,0.32,0.11,0.25996687918605427,0.02156564118184587,0.003899573210653278,0.3769134622454231
IA,12.182178217821782,56247,0.92,0.28,0.09,0.9133931607693376,0.037111742983633934,0.0051536104809238184,0.025099424130328233
ID,12.447945205479453,51807,0.9,0.27,0.09,0.93293303940152,0.008588592514245987,0.017514097437207728,0.015189580077602752
IL,12.42346707040121,60960,0.89,0.33,0.13,0.7718196804448777,0.14654208988223572,0.0058047563342492475,0.0559072947895808
IN,14.528544776119404,52314,0.88,0.25,0.09,0.8557026440962507,0.09689758287825868,0.003993460915037724,0.022785641751731856
KS,11.846451612903225,54935,0.91,0.32,0.12,0.8658932566380984,0.06177250217517277,0.011754692035724702,0.030670193658216383
KY,13.936466165413535,46659,0.85,0.23,0.1,0.879402347197497,0.08278662502543244,0.002972807396824274,0.015252705527362378
LA,13.987926509186352,45146,0.84,0.23,0.08,0.6314408380119341,0.3260589776228754,0.007688402521047024,0.017775369451810144
MA,14.604117647058823,75297,0.9,0.42,0.19,0.8168284544058018,0.08660490692822262,0.004774230144584943,0.0671004283314645
MD,14.307462686567165,78945,0.9,0.39,0.18,0.5937000598865021,0.30679275473246587,0.005787640731614544,0.06488709162768048
ME,13.013636363636364,53079,0.92,0.3,0.11,0.9478011371744894,0.015616244920645651,0.0070363610416338054,0.012106326565868242
MI,15.492460317460317,52491,0.9,0.28,0.11,0.7955574267802398,0.14157592175958536,0.0072473670830364885,0.031561140647655875
MN,10.76574074074074,65599,0.93,0.35,0.12,0.8481950186922605,0.06391885880621913,0.013557388199932324,0.049351768083804766
MO,14.727990970654627,51746,0.89,0.28,0.11,0.832396915299194,0.11833102986708345,0.0055784241136692825,0.019973376935186818
MS,15.459493670886076,41754,0.83,0.21,0.08,0.5932825307248474,0.37717222311831017,0.006048258908582745,0.01045076495048352
MT,11.617021276595745,50027,0.93,0.31,0.1,0.8913363238005386,0.005690470311654848,0.06683780670462876,0.008719687413233057
NC,12.843434343434344,50584,0.87,0.3,0.11,0.7098220786538592,0.2220276923195072,0.015709268748180384,0.029435408956018004
ND,10.07037037037037,60656,0.92,0.29,0.08,0.8782559358814772,0.029555128699693643,0.0555522414572488,0.0151812215236103
NE,10.945412844036698,56927,0.91,0.31,0.1,0.8872615067547289,0.050436428734828884,0.014720419072323975,0.025103834150784606
NH,13.145098039215686,70936,0.93,0.36,0.14,0.9350486042255022,0.01591807940117985,0.0028933835826554914,0.02898374743830515
NJ,14.886335403726708,76126,0.89,0.38,0.15,0.7264486311140799,0.1493123681336537,0.005912998522961703,0.09569828934896281
NM,12.239719626168224,46748,0.85,0.27,0.12,0.8228526621651777,0.025058426817036978,0.1083668731056977,0.017375855855511473
NV,14.53360433604336,55180,0.86,0.24,0.08,0.7530111940247389,0.09627909302507182,0.016563964583535973,0.08419458779658137
NY,12.774233870967741,62909,0.86,0.35,0.15,0.7011204643371776,0.1760945613921562,0.009646622785967063,0.08689205338733032
OH,15.806555423122765,52344,0.9,0.27,0.1,0.8235335220798826,0.1284527386885934,0.0027904591000105458,0.022619418319015473
OK,14.422198731501057,49176,0.88,0.25,0.08,0.7454276021838819,0.07755256293405596,0.09270165879378187,0.022777504864686465
OR,12.651136363636363,57532,0.9,0.32,0.12,0.872902553744387,0.021420275289362772,0.017980869158851092,0.04597077189150717
PA,15.073488372093022,56907,0.9,0.3,0.12,0.8230412425730654,0.11813411905217476,0.00369913243110006,0.03482072021063339
RI,14.94433962264151,60596,0.87,0.33,0.13,0.8440026753372315,0.08079367076512942,0.010325780015003836,0.03600163850215172
SC,14.648022598870057,49501,0.87,0.27,0.1,0.6841567614282098,0.27477862586182383,0.005407771112099366,0.016457267555894387
SD,10.851666666666667,54467,0.91,0.28,0.08,0.8497189676552052,0.02048696821147539,0.09137897066833547,0.01479331085074575
TN,15.148757170172084,48547,0.87,0.26,0.1,0.7869883134881192,0.1709696191624062,0.004534680228520314,0.017987479629454337
TX,12.641243862520458,56565,0.83,0.29,0.1,0.7941015607270688,0.1260709085840633,0.010020477142329025,0.04897984400317681
US,11.8,57617,0.87,0.31,0.12,0.7689922772537342,0.13310764654575893,0.012551453728136618,0.05675148370170202
UT,12.564940239043825,65977,0.92,0.33,0.11,0.9114402653245747,0.013616585480966524,0.015369026557107328,0.024749779219374924
VA,12.650863723608445,68114,0.89,0.38,0.16,0.7004222830582909,0.1978525364447709,0.0053286514977031125,0.06596237807257352
